scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,220524_homo_M2_piezo_copulation,img01926.png,346.0343490207565,393.8708118347075,328.1332365561224,378.83387736441483,382.31393694908166,323.22108797428484,364.17414298491906,299.1142565219109,358.6844684957646,376.9244253681872,338.6352225353744,366.66112088846364,398.78296041654505,312.9577834945613,381.8365739500248,290.76040403841495
labeled-data,220524_homo_M2_piezo_copulation,img04914.png,452.7327744307671,135.86413922215922,,,384.7736420195743,91.92504499078457,,,433.2042881057117,134.10657545290422,,,387.3123452418315,66.14744304171143,,
labeled-data,220524_homo_M2_piezo_copulation,img05600.png,411.6296695756183,122.39931578287869,,,358.72484102068853,70.7289332275639,,,387.2934484403506,114.46359149963921,,,337.0338613131673,52.74129151888778,,
labeled-data,220524_homo_M2_piezo_copulation,img06624.png,430.0769095123451,208.02710378959233,420.5296495312068,184.63631683580365,504.78421886475144,182.01082034099068,502.39740386946687,151.6982699008769,448.45538497603604,206.3563332928931,439.86285099301165,185.1136798348606,526.5042353218408,181.77213884146224,524.5947833256132,151.93695140040535
labeled-data,220524_homo_M2_piezo_copulation,img08056.png,,,,,,,210.47593107896148,263.5508708981214,250.9156783668363,259.65306393061536,271.37916494624284,275.4879047361085,,,189.28160569314758,254.29357935029458
labeled-data,220524_homo_M2_piezo_copulation,img09736.png,,,,,249.54790318462955,124.98302444778844,228.8181190644268,146.38151128154612,278.30211986749146,170.0090071604869,267.15707464157595,192.96780032587276,235.50514619997608,109.15706022698848,216.1127675068832,125.87462806586166
labeled-data,220524_homo_M2_piezo_copulation,img11216.png,450.90715980439256,365.68294098101603,432.8610631231028,351.11942436102777,472.435836546984,278.9350376358684,445.84158880613575,271.6532793258742,457.5557217396047,347.63684429972625,440.77601780787904,337.82230049060365,479.400996669587,258.03955726805907,446.79138336830897,252.9739862698023
labeled-data,220524_homo_M2_piezo_copulation,img12437.png,353.8655443184558,188.12889718927113,367.01683176533487,202.40743784588273,291.86661778316875,236.6007852077683,306.896660579602,261.96398242674934,341.6536345463538,198.64992714677442,352.55041557376785,211.61333905869805,275.33357070709224,247.30969070022695,290.73936457343626,271.73351024443093
labeled-data,220524_homo_M2_piezo_copulation,img14277.png,292.9493033813372,302.226556736518,291.04576690293914,278.1150946768103,373.109339527207,296.51594730132405,374.378363846139,266.9053798595779,310.92714789954016,298.6309878328773,308.6006033148316,278.5381027831211,391.9332002580313,297.5734675671007,393.2022245769633,270.0779406569079
labeled-data,220524_homo_M2_piezo_copulation,img15143.png,421.6057475375487,215.53633937665762,402.34454504047767,230.5535481031876,372.9630497059625,153.83519917417578,346.8461649641712,169.83179107852294,412.1383768186494,201.82497488721725,393.2036353808507,215.53633937665765,363.82214004633556,136.53276303273904,338.35817742308905,149.2647443443623
labeled-data,220524_homo_M2_piezo_copulation,img17271.png,350.9154024529956,116.09722783224431,369.15382513597154,138.89525618596429,285.69321698887495,157.5301663185702,297.5878404777723,187.4649687656286,334.2629295685392,125.01819544891734,349.9241838289208,143.25661813189333,264.28289470885966,167.83884000894793,277.5652242714617,193.8087679597072
labeled-data,220524_homo_M2_piezo_copulation,img17668.png,278.2869660579894,144.2238108000651,303.41854989883467,142.1042796327649,270.1116315555457,224.7659951574729,301.2990187315345,235.36365099397395,273.1395332231175,162.9968011390098,298.5739072307199,162.39122080549544,266.47814955445966,247.778047831018,294.9404252296339,252.62269049913277
labeled-data,220524_homo_M2_piezo_copulation,img19883.png,358.71922688630565,263.449620013747,332.65034539161115,274.236743390862,328.4553529671776,185.84226016172536,299.09040599614235,190.33689490218995,355.72280372599596,245.17143873585775,331.15213381145634,252.3628543206011,324.26036054274397,163.96837109146443,296.99290978392554,172.05871362430068
labeled-data,220524_homo_M2_piezo_copulation,img23171.png,315.7093600197695,228.64267585340906,290.1921378883638,235.93331074809643,308.4187251250821,146.36265347050897,280.29770481700234,142.19657638783048,312.84518202542796,210.41608861669073,293.57707551804003,217.18596387604322,311.0225233017562,128.39644605145799,283.42226262901124,122.92846988044246
labeled-data,220524_homo_M2_piezo_copulation,img26344.png,350.1115737806109,142.2204594262118,343.0962090965242,118.89911196289648,425.00533189450965,120.03673866842406,421.40284732700565,91.97527993207719,366.2279521089182,133.30905023291245,360.7294230322016,114.72781404262871,441.31131467373825,121.17436537395163,441.5009191246595,92.54409328484098
labeled-data,220524_homo_M2_piezo_copulation,img30869.png,320.39327634141875,101.00247720698326,,,258.64775321547086,106.91428261265912,,,302.43890436862546,110.41757470491149,,,238.5038236850198,108.88488441455108,,
labeled-data,220524_homo_M2_piezo_copulation,img39565.png,288.64400075216093,354.24439102612484,266.5957117450313,368.7868795201891,398.650889521776,365.73764806175626,,,277.38529998256286,335.245333477428,256.74434857163294,353.54072222802495,426.7976414457713,380.5146928218538,,
labeled-data,220524_homo_M2_piezo_copulation,img40685.png,269.4159874211596,330.1824410283418,251.4537251508612,343.1895964654545,334.761458783797,258.02369777007397,310.29561879494224,238.82265879147909,257.0282203381952,312.8395671121916,238.1368755366744,327.39519343467487,347.7686142209097,241.300212208072,325.1609392944996,222.40886740655122
labeled-data,220524_homo_M2_piezo_copulation,img41072.png,438.1041150214333,227.23473116660386,440.4396430829349,207.3827426438405,437.5202330060579,337.00455005717794,469.34180284401685,332.62543494186247,459.99969059801055,232.4896693049824,459.99969059801055,207.96662465921588,440.14770207524714,356.85653857994134,470.21762586707996,352.4774234646259
