scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,220622_hetero_T33_piezo_copulation,img01714.png,342.0058663979766,156.50288903489718,325.9885624626786,132.276716832759,403.872702848065,117.86114329099084,390.2579945030617,90.6317266009843,355.42035844378864,139.28428730445188,342.04245765265637,121.49044343439921,418.6887089882156,105.84816533951735,405.67464954078605,83.62415612929144
labeled-data,220622_hetero_T33_piezo_copulation,img03025.png,433.1360907849447,185.856571070707,435.09288456620277,212.76248556300555,375.65527346048873,167.5116293714125,360.0009232104241,192.21615085979573,412.83435530439215,186.10117029336425,412.83435530439215,210.31649333643298,357.3103317611942,156.0154659065213,342.8789776244159,178.0293959456747
labeled-data,220622_hetero_T33_piezo_copulation,img05503.png,445.8138509584002,197.6173553881746,470.28955381913636,211.24587175381174,413.78334604250693,231.72580960351635,431.2467245273033,254.94340452706854,440.13549973015574,224.36179494203185,459.72203891910465,232.03151918035041,399.64377510746624,245.17809617437769,415.4973553695339,266.0380702034141
labeled-data,220622_hetero_T33_piezo_copulation,img07526.png,333.1454686501012,306.68511533249097,319.55443119761316,331.3028435483184,267.7546280768096,282.06738711666355,259.0358493337041,313.35241672427753,318.52869252195364,298.47920592721516,302.62974304923176,319.7632834471493,250.31707059059852,278.4773017518554,242.11116118532271,303.0950299676828
labeled-data,220622_hetero_T33_piezo_copulation,img09483.png,362.62355552724284,331.0764511871541,344.39105056739567,348.1550001368843,317.1576887286366,280.99476034808015,297.0788541526023,302.4583421362547,352.00716023416726,316.536605459681,331.92832565813296,331.7688247932242,304.4641726173505,269.45520024691103,285.3085028494098,285.149001984501
labeled-data,220622_hetero_T33_piezo_copulation,img11046.png,451.88096404873,290.731900338678,434.11004149292955,301.5021564331024,365.1804024886128,237.6883890736373,346.6017107257306,255.99782443415893,445.4425458864014,272.6443795954865,424.68606741030817,284.26974668202325,349.8327875540579,225.30259456504913,333.9466598147818,243.61202992557077
labeled-data,220622_hetero_T33_piezo_copulation,img11519.png,361.0881319304491,232.87162433960214,355.77344425143417,260.9111834737149,282.65067239188517,229.93938286152496,280.4514912833273,259.44506273467636,342.02856232294755,231.40550360056355,335.7975491820336,258.16220708801757,264.6906933386626,229.93938286152496,263.95763296914333,256.87935144135884
labeled-data,220622_hetero_T33_piezo_copulation,img12318.png,196.78674424323356,299.1691532668026,174.16920644494212,298.6306404620814,197.05600064559417,222.16182219166745,169.59184760481173,229.16248865304337,195.4404622314305,277.359384675593,169.86110400717234,280.5904615039203,191.13235979366073,204.92941244058824,165.0144887646813,210.8530532925217
labeled-data,220622_hetero_T33_piezo_copulation,img13144.png,213.9620716370123,230.61274506021948,197.69622333030452,212.848726514736,259.9773003994092,179.03288398236987,242.21328185392576,158.27252495933493,230.4419442635451,211.99262923543557,209.89560956033534,198.29507276662906,274.95900278716636,164.4792302342629,255.69681400290722,146.71521168877942
labeled-data,220622_hetero_T33_piezo_copulation,img15164.png,201.40616684565993,177.66939989985462,192.61520546464794,155.23729154830684,266.428967405214,161.30002353521166,259.30525732060084,135.3818442911936,220.35220430473746,172.9707826100034,208.52987693027308,150.08396935943776,283.40461696854743,156.14670134634255,277.4934532813153,132.1989099980686
labeled-data,220622_hetero_T33_piezo_copulation,img15710.png,220.78605855665467,189.18927493089964,204.9679846333598,166.53623079383536,280.54322671132417,147.00774446877998,266.6780014205348,123.1829911522124,236.60413247994956,176.49575881961363,221.3719131464063,157.5531270843099,294.60373686536406,136.07179212674896,279.37151753182087,114.98102689568913
labeled-data,220622_hetero_T33_piezo_copulation,img16493.png,349.53419817734954,126.36824957796611,337.50958763488103,104.16896857648575,407.06733477285275,94.36428613416525,394.67273621369293,68.65011897411718,369.32855707033616,115.4536030855716,355.0840184277196,94.36428613416525,422.9768194905804,83.81962765846208,410.39722692307487,62.36032269036441
labeled-data,220622_hetero_T33_piezo_copulation,img21606.png,218.83459171249962,199.87851739569078,196.30581976114024,210.90323558465388,194.38847746740754,142.8375841571426,167.306017568433,148.82927882505734,208.76854467040295,181.42409781851345,188.39678279949283,193.4074871543429,188.876118372926,123.66416121981547,165.14900748798368,129.6558558877302
labeled-data,220622_hetero_T33_piezo_copulation,img23365.png,377.9609761974211,112.92248772810316,401.0470004100762,100.47159826509812,396.3779168614493,171.28603208593918,423.0954505008143,161.68847145820615,387.5585368251541,132.3770025140485,411.68213515972633,117.85096480720931,402.0845745319933,189.70297274996744,428.542714640879,180.62419918319296
labeled-data,220622_hetero_T33_piezo_copulation,img24667.png,376.30873968667345,193.45922250155036,370.015485570989,218.6322389642882,316.7925364783432,175.47849645673762,304.2060282469743,199.57266935678672,353.6530248702094,186.9861611254178,348.43861431721365,211.26014128591498,296.1147015268086,168.28620603881254,285.68588042081717,192.2005716784135
labeled-data,220622_hetero_T33_piezo_copulation,img26752.png,257.44300686717014,309.28502753764377,278.39470560470306,322.67683497812874,218.3475690167221,365.0122262415973,242.10722737887286,382.29197777770696,244.48319321508794,328.7247480157671,267.59486089463456,341.9005585620507,208.8437056718618,383.15596535451243,231.5233795630057,395.8997821123933
labeled-data,220622_hetero_T33_piezo_copulation,img30131.png,245.24878631471367,277.1104910401263,256.50748708431183,304.91607021352775,186.90824596315974,303.72196558644913,196.63166935508542,328.6275763798026,223.925489402596,288.53977818502136,235.69594929808497,314.46890723015645,167.8025719299023,313.9571481042656,178.5495135736096,336.4745496434619
