scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,220624_CantonS_C37_piezo_copulation,img00744.png,407.92561333877694,247.49058456716443,392.4635890903985,226.7055683644262,473.5758474425478,189.69810049125806,456.0860167353656,168.4061326738189,422.627210165104,234.30984258494018,407.41866172407606,215.80610864835614,487.77049265417395,173.72912462817868,471.0410893690431,156.49276972834696
labeled-data,220624_CantonS_C37_piezo_copulation,img02181.png,394.6163379170515,367.2991303447239,374.96357940629116,348.8595050753686,447.02369394574566,287.7175897085587,425.1872956004564,272.43211086685625,407.475550275944,350.8005182616165,389.5211783031507,336.728172661319,457.9418931183902,269.5205910874844,438.0465079593489,255.44824548718685
labeled-data,220624_CantonS_C37_piezo_copulation,img02980.png,474.7454740766534,177.5316957047984,501.7302915440026,177.83152700999116,418.07735739521985,238.99711326931623,439.6652113690993,259.3856420224246,481.0419314857015,196.4210679319429,503.22944806996645,198.81971837348505,406.9835991030874,255.48783505491855,427.9717904665813,270.1795690093643
labeled-data,220624_CantonS_C37_piezo_copulation,img03134.png,325.7101335894684,331.7144211919267,353.51652828453336,322.5222245985168,294.91627500154516,390.3146744749149,315.3689124218822,389.3954548155739,333.5235006938668,344.1238865930301,356.2741872625564,337.2297391479726,288.71154230099353,412.1461413842635,312.15164361418874,405.25199393920605
labeled-data,220624_CantonS_C37_piezo_copulation,img04255.png,310.4022729326055,298.5565702942524,318.6081823378814,274.9645807540845,387.94811681246193,350.86924275288567,404.35993562301354,327.48240094784967,329.89130777013565,296.50509294293346,335.84059208896053,273.11825113789746,406.8217084445963,360.92148177434854,418.10483387685053,336.7140490287849
labeled-data,220624_CantonS_C37_piezo_copulation,img06287.png,315.4725554247602,212.65172551177807,,,250.76915702159806,141.4555985491291,240.91812058651456,165.1876408700121,299.35267762189625,209.7411920195943,289.9494155702256,227.65216735610977,234.87316641044058,135.41064437305513,225.91767874218283,159.590461077351
labeled-data,220624_CantonS_C37_piezo_copulation,img06814.png,413.1995064374807,148.19395206994892,,,393.38105167911385,89.51578209909806,,,396.29553032005015,150.13693783057312,,,391.8266630706145,70.28022306891847,,
labeled-data,220624_CantonS_C37_piezo_copulation,img08520.png,268.2087176570882,181.01652450088892,285.8731211965701,200.2510972438804,179.4941576588011,207.31685865967316,191.2704266851224,235.97244662372162,255.05855057769605,195.93313193422924,271.3490560641072,213.59753547371116,163.5961944732674,217.71922963292363,175.96127695090473,241.4680388360049
labeled-data,220624_CantonS_C37_piezo_copulation,img09075.png,232.21322778073068,109.56565928328872,235.86742181276756,84.37095306240283,299.7196543725699,148.6078376255775,308.7589764518191,119.95126337434091,250.8688499442874,109.75798528497486,255.29234798306888,86.29421307926435,315.1057345074621,151.49272765086982,324.72203459176967,126.29802142998392
labeled-data,220624_CantonS_C37_piezo_copulation,img09456.png,246.17883333189735,93.67825996298802,263.07898689805546,76.57928106075744,338.43378926951345,152.72938477650527,353.14686413887466,128.07504310352164,252.14359341407078,107.59603348805943,269.44139765237384,88.11115055295946,354.7374668274542,159.68827153904098,368.0587643443083,136.8233578907094
labeled-data,220624_CantonS_C37_piezo_copulation,img10902.png,221.88046599835718,294.36674341608375,202.97334060182624,315.4042491389843,173.14801603265073,215.8089688812018,149.7138324425843,228.59125083941987,210.16337420332394,286.91041227378986,193.12033159236648,302.08937209917383,162.7624119415986,199.56481889263299,139.06193081073587,214.47748117722074
labeled-data,220624_CantonS_C37_piezo_copulation,img11256.png,191.08770268235634,197.71732545756382,167.1140200003805,190.6791800830388,241.67437256175486,134.15407504388477,219.2402841804564,115.8988854787105,197.68596397097355,177.92254159171222,174.5920494608133,170.22457008832546,252.01164858058843,119.85784225188084,230.23738632815173,104.02201515919955
labeled-data,220624_CantonS_C37_piezo_copulation,img12159.png,308.36272643241944,80.38020538863039,315.20923365717505,57.74869539568819,385.5761134671634,110.99930714378746,390.3306323732437,85.89544731968353,331.1844171816049,83.42309748852178,335.1782130627123,62.88357581425491,403.0727430415389,114.04219924367885,407.25671967888957,88.7481586633317
labeled-data,220624_CantonS_C37_piezo_copulation,img14341.png,263.97260284174956,284.9792027821919,276.56551765984585,306.85110746625395,206.97309366510297,326.73465717903764,222.43807677504583,349.2693468535258,247.6239064112385,295.3628342988678,259.99589289919277,316.35102566236174,191.066253894876,340.2112853177021,206.75216533496092,359.4320500400597
labeled-data,220624_CantonS_C37_piezo_copulation,img16379.png,282.244377139911,98.85123032130008,279.32827221084847,74.79336465653381,354.85538987356927,88.79066831603419,351.79347969805355,62.254113461564714,301.05325393236467,96.37254113159689,297.40812277103646,72.89789645264312,371.91460370858533,86.31197912633098,370.1649407511478,61.81669772220533
labeled-data,220624_CantonS_C37_piezo_copulation,img19404.png,349.0646739986244,218.95103871899073,346.3456654896684,242.45104083211027,277.59359319178157,210.7940131921228,276.62251872429727,241.09153657763227,329.2547548619451,217.20310467751904,325.1762420985112,238.37252806867627,260.50268256405826,210.7940131921228,259.14317830958026,236.81880892070143
labeled-data,220624_CantonS_C37_piezo_copulation,img20575.png,280.11558392885195,184.1353618472067,291.5072009518009,205.88299434556387,216.11540829082946,221.83125817769243,226.05718314722128,246.06433439014756,264.16732009672336,190.9703320609761,271.41653092950907,213.33932548785774,196.85321950657027,230.73743148654347,209.28043807706007,253.93490615145777
