scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img00308.png,,,,,,,,,,,,,151.59414940874655,241.62899288339767,142.99106356269,216.89512107598506
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img00652.png,,,,,,,,,,,,,144.03140636882193,270.8357853271175,134.66266436873602,247.33453420825788
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img01634.png,,,,,,,,,,,,,131.60507594994507,292.8375840338568,129.54373572674479,266.6911106764215
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img01766.png,,,,,,,,,,,,,131.5156221676993,293.4455117308789,133.8087398801111,268.52696592267057
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img02711.png,,,,,,,,,,,,,159.8134906726218,245.04753147641253,184.02092341818542,234.58499698468586
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img04715.png,,,,,,,,,,,,,289.7965425354955,116.86428310419997,306.74490157639207,136.17973139661842
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img05316.png,,,,,,,,,,,,,312.8841984435477,95.20034186980561,326.2867550107966,117.22442605341342
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img06095.png,,,,,,,,,330.6200482505502,99.44970610947236,,,397.1470916645723,109.67355910167056,398.58707095924814,134.2972050406268
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img06849.png,,,,,,,,,,,,,433.8356983143962,145.62187288924528,434.0201340185773,169.4140787286044
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img07288.png,,,,,,,,,,,,,451.16638320033184,252.7645777740178,422.13008838166365,254.7608230428012
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img09090.png,325.24734719799557,346.6339290756958,326.2818152508942,368.5646517971478,253.24837071624722,351.3924821190297,249.524285725812,376.84039622033725,308.48896474103685,349.5304396238121,308.6958583516166,369.8060134606263,234.2141585429115,348.70286518149317,230.0762863313168,371.6680559558439
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img11418.png,304.2896964411952,367.3869888074429,289.7912747756237,383.43881279432554,244.05220642590433,335.2833408336775,226.61958037563392,353.2337676577184,290.8268763231646,355.47757101072347,274.7750523362819,369.45819190252445,233.17839017672569,323.20132277903457,214.53756232099107,337.8723447025296
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img14183.png,,,196.57465008743566,299.485633099731,226.34671514845195,370.226095381462,255.35539392585244,366.9180881524602,181.30692441511962,321.11491113551205,203.1906645454393,323.15060789182087,232.19934332283978,388.80182828277987,255.35539392585244,383.96704848654645
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img16432.png,180.6923814192799,366.1438096657819,187.39365970290436,355.56284395479594,271.3359876767263,365.43841195171615,276.4501211037028,342.86568510161277,196.74017941427527,377.95922137638286,204.8522531260312,364.7330142376504,290.0290270994681,367.90730395094624,293.5560156697968,345.1582276723264
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img17569.png,,,315.10790927071184,388.8912253535123,356.31301541657876,323.96196718426745,337.583421713912,308.97829222213403,341.95366024453426,385.35341320967524,327.80241166918603,372.6589108112011,370.8804771853196,313.3485307527563,354.2319494496158,298.15674919392654
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img18143.png,446.8438765313229,314.0882658696008,424.55477236668014,314.3279336563173,453.07523898595423,272.6257387676309,430.0671314611617,263.758030659117,449.719889971922,295.6338462924234,427.67045359399583,292.75783285182433,461.9429470944681,256.0886614841862,437.73650063609256,247.93995673582216
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img19514.png,433.99208302465956,277.67030184878035,409.1918916790273,277.4385243595689,439.7865202549475,228.0699191575159,417.5358812906419,220.6530395027474,432.3696406001789,256.5785503305324,411.0461115927195,257.0421053089554,449.2893973126196,212.3090498911328,425.648093413045,204.66039274715277
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img29245.png,458.31776272749573,242.8791001903246,439.5072934754019,255.51738421907513,434.21684899825055,198.20423571660191,411.2915895972613,207.02164317852086,448.0307873552569,228.47733466919033,428.6324909390352,241.70344586206875,428.33857735697126,180.86333437482796,404.82549079185407,187.62334676229915
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img35740.png,454.80311501770285,246.3708724482196,434.8781412430175,259.2892620384001,429.84215886040477,199.73329647010996,405.53806997040397,206.95883641038046,445.3880175197746,230.6060580330839,422.3976631643685,243.74340337903027,425.9009552566208,182.87370327614548,401.1589548550885,189.0044644375871
labeled-data,C68_210702_cop_CS-H_isolatedMvirginF_1stPC_1,img37313.png,437.3671691247572,245.3894772445386,422.8095702278978,263.3842869920455,406.8366492160658,198.68384745044773,384.3936842500741,208.79329112882237,425.23583671070764,233.8647114511915,405.62351597466085,249.23106584232096,397.73814990552864,180.0824710822384,376.7105070545094,191.405048002018
