scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img00358.png,,,400.1471741157154,173.61422217076102,,,448.37069989234465,214.90908045074815,,,410.1244553108801,200.22030535786683,,,466.6623820834798,232.64646924215202
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img00527.png,,,415.62961796089354,202.88817275028205,,,453.72594688976176,248.68937719285393,,,418.83998275827,220.22414265611533,,,464.64118720084196,266.6674200581625
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img01387.png,,,426.1701051399652,247.1639854276858,,,435.37019203088016,312.61005808351285,,,412.997253455246,263.68232325455585,,,440.59751412799096,331.8466034008806
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img04305.png,,,415.20217243585887,292.5621337479547,,,398.6759443114837,355.87388092865956,,,394.0206687834907,310.7177083071274,,,400.5380545226809,379.1502585686246
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img05090.png,,,416.2621929747471,291.36432740945327,,,408.25551358147436,350.8078562382962,,,399.76358089163966,305.9219263063128,,,408.0128869331934,371.91637463874247
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img06436.png,,,396.2521080403054,323.69095519071203,,,375.83004552280045,381.90557018313984,,,373.9521547165931,333.08040922174877,,,361.04165542391763,396.6939602820227
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img06993.png,,,375.0389469606455,334.2760035684826,,,352.13081041316775,388.7057360052898,,,355.61284716838435,342.15640254081495,,,341.6847001475179,403.91673867281503
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img07450.png,,,376.51802084787266,335.5300439490439,,,354.15967957753435,385.74467926111515,,,359.65763234892904,338.6455505195009,,,343.53030421950467,402.2385375752992
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img10174.png,,,,,318.1997021291873,387.8632971202952,343.70903396308796,383.47234655872217,325.09976729737355,342.49014131737357,348.099984524661,338.5173765235694,319.87244520026275,408.9816783926228,342.87266242755027,401.87252034055217
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img11529.png,,,380.42915446114716,341.7904297346237,,,340.9786532229709,386.7917552676188,,,361.59600060372634,345.1605730564779,,,328.68754228444357,402.25476580318536
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img13436.png,,,388.59411466576864,340.85498190428734,,,346.6817338216965,390.2034303174691,,,363.58188738785464,342.8830003322263,,,333.16161096877,406.8782485027451
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img18987.png,269.83976184539347,329.0702257947786,268.1333217871021,350.49552874888127,209.545546452432,309.92017625173105,206.70147968861306,337.4128216353141,252.39615236063733,324.89892787451083,247.27683218576323,346.703439730456,189.2578702038569,308.7825495462035,186.03459453819542,334.18954596965267
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img22497.png,249.70287947678818,342.57624418889765,229.09144981916154,357.1959791786096,212.7940403224335,295.8410257791628,191.94294287809024,314.5351131430567,239.15749686125827,326.51850247888615,218.54606720363162,340.41923410844834,199.85197983973768,284.8163075901997,180.1992213289774,301.11371708692775
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img23392.png,240.57031972449607,356.3700228357785,217.77327765796423,368.89587012508173,216.01965903746174,296.2459558471231,190.2164136214971,309.7738709195706,228.54550632676495,339.83590441389833,208.50415066387984,350.10709919112696,206.75053204337735,281.7159729915314,181.44832051898487,291.48613387718785
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img23458.png,262.16008265722814,342.575632690841,238.54836737329748,352.8073759805443,233.8260243165114,284.3334016571455,208.11548989623137,297.18866886728546,252.97774893569957,323.6862604636965,230.15309082789994,331.03212744091934,223.33192863476444,269.64166770269975,198.40845139061545,281.70987773670873
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img27659.png,205.87487718227985,314.4641004655111,181.93472826470054,306.48405082631797,229.2646778488803,258.05340474018055,200.6465687979809,251.44922572843453,213.02940444500467,294.1012151792942,190.46512615487248,286.6715137910799,231.1908967273062,238.2408677049425,205.59970305679042,233.83808169711182
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img29094.png,257.9075348179043,255.93584614725663,286.2277851379872,252.1790782476538,268.59987422446625,316.3331146870252,296.6311423984258,309.97550747231276,261.3753205713839,277.6095071065037,287.0947315763571,274.7196856452708,275.8244278775486,335.40593633116265,301.54383888252187,327.892400531957
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img30373.png,214.92571367130688,328.24407109175814,191.31794353612878,338.4383354683123,184.6111906568168,269.76118598415786,162.88131132784605,284.2477722034717,206.07279987061509,309.19689291451215,183.26984008095445,316.1719159089966,168.78325386164062,254.7380595344991,150.27261591473962,270.02945609933033
labeled-data,C92_210708_cop_CS-H_isolatedMvirginF_2ndPC_4,img30948.png,207.41714382809343,312.7415104399473,179.76658250875363,308.79143025147016,206.1004504319344,249.54022742431346,176.86985703720376,250.5935821412407,207.94382118655705,283.24757836598485,181.60995326337627,281.9308849698258,201.88703156422548,229.52648780269607,175.2898249618129,229.52648780269607
