scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img00083.png,,,,,,,,,,,,,341.50011778583075,379.60178759482494,310.2136544678566,372.589304437348
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img01258.png,,,,,,,,,,,,,325.4359916135213,426.63223445998324,296.24189084475154,419.13645183016405
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img01516.png,316.3202243868943,149.53970148667034,284.1278105661969,152.35653769598136,290.9686985030951,71.07069279872042,262.8003364099849,87.56930488182783,314.3081985231007,128.61463250321702,280.90856918412715,129.41944284873446,276.07970711102257,52.560054851819416,249.9233708817059,66.64423589837452
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img03902.png,,,367.2707563220265,360.85200770481646,,,323.92836583947303,393.53263368364026,,,347.33789224983616,352.9715730716249,,,309.3263840191475,406.51217307948514
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img04484.png,,,300.4099242280678,376.2938525173256,,,239.97123162639758,383.6476097920536,,,281.56592121157746,358.139264245341,,,215.6119106538613,388.2437080887585
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img05392.png,,,183.9997251476509,327.3198805449889,,,133.62510701370115,299.13672414405664,,,182.89015206100004,306.0160772812921,,,112.54321836733452,290.26013945084964
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img05777.png,,,188.9267804937753,311.06931968969724,,,133.52900171065858,265.29573128839314,,,192.4478257554141,289.47357541831275,,,108.88168487918712,258.48837711589147
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img06613.png,,,159.9339582554985,277.97999602585446,,,118.36195327564573,226.98500325056835,,,163.53686535375243,254.4225265372712,,,105.61320508182422,207.5847342599704
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img07974.png,,,173.4962710799193,200.607876771316,,,166.03106335293222,138.31200539438925,,,186.10989792896646,188.76651279057785,,,162.42716996749016,116.94606603783998
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img08303.png,,,207.71075314055986,151.25761651096238,203.93524578438246,93.0804804316837,,,242.3767752290976,143.87821576934297,224.0140803604167,154.3466679841984,180.93897370584753,90.33465689991833,161.20336707128396,106.98121206124586
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img09904.png,159.16395003970158,237.38394194440403,,,135.8520660609637,311.0004176667341,,,170.20642139805102,263.4564437627293,,,126.65000659567244,336.4594488540399,,
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img10275.png,185.45752813124707,314.55736378202107,,,222.3663672856018,392.2097266781959,,,207.02762893574007,327.4994242647168,,,232.6720821144151,417.37484428343777,,
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img12127.png,372.2979602555213,347.89456114198566,,,432.37172659758187,349.76456165068794,,,385.3879638164372,330.12955630931407,,,459.72048403735266,341.3495593615277,,
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img14945.png,435.1945594329968,274.94136355367584,,,469.92074504001073,215.12107301896572,,,427.0833335977819,246.29859732307312,,,479.55282571932844,190.28044389862,,
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img15295.png,430.1453238162934,266.0431002680736,,,469.69346748609496,202.23229177017288,,,419.95500458849176,243.9640752745034,,,479.8837867138966,178.9401335351977,,
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img18133.png,434.4923121058862,255.74661708734124,,,466.0239135105337,189.9415358950333,,,425.1699256036426,234.6341535381424,,,476.44305136598246,162.7969399032063,,
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img19187.png,,,443.542148992848,237.34066366258884,,,441.12771795629567,302.7985717646735,,,421.81226966387726,258.53400276121465,,,447.2979306052627,329.3573131667489
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img20032.png,,,442.75654905603744,277.0664573807171,,,442.9656419399219,323.9032633708298,,,421.4290748998254,292.12114502039617,,,450.07479999199256,345.6489232948107
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img21415.png,,,436.8562427726881,292.7658217780481,,,431.6506189937163,337.28288030166937,,,409.2125854636653,299.04847116646243,414.9567220473583,375.51728943687635,436.3177299679669,354.5152900527486
labeled-data,M74_210223_cop_piezoKO_CS-H_isolatedMvirginF_2,img23365.png,,,321.792232134247,381.08278798841405,,,241.95780849527847,403.85837431184353,,,295.420500601855,368.8558942779414,,,218.22325011612566,406.2558044511519
