scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img00556.png,,,207.7775726181252,296.57064158945684,,,160.1201756874849,271.795107423528,,,207.61976666802371,280.0010168288038,,,145.60202827815078,263.4313920681507
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img01021.png,,,228.6166506736502,309.48323181097123,176.9963518210871,295.2382859527503,191.24129767930805,311.0346615579062,215.2179392228483,282.54476984146424,229.46288508106926,297.35387197129796,164.58491384560745,297.9180282429106,177.98362529640934,316.2531070703238
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img01772.png,341.15917435330226,175.98292893327144,365.75717682536697,172.80215275153893,346.67251973497196,243.41538398600062,372.3307809342808,243.62743573144945,344.1278987895859,197.6122069690525,368.30179777075296,194.21937904187115,347.73277846221606,261.01567885825386,373.6030914069738,260.80362711280503
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img02481.png,236.7482635581875,317.8900281907262,210.27631542866794,325.48443953935885,214.61597905645806,246.50256151357922,187.7100645641595,255.61585513193842,231.5406672048394,303.5691382190189,207.0215677078254,308.9937177537565,207.88950043338338,229.79485654658737,183.1534177549799,237.82323425799905
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img02824.png,265.6880980104254,299.306760055291,292.90863811573877,304.82700944727765,236.37367020470333,362.5040979221723,261.1196157549882,373.54459670614557,264.5459774465661,317.58068907703984,287.38838872375214,320.6263439139979,230.47271395809696,377.732372106963,252.9344183806632,387.0596900451473
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img06218.png,,,,,157.23393001045255,175.48595854491444,159.45307618375432,202.70748493741593,183.123968698973,176.22567393601503,191.85261031395987,196.19798949573078,144.51082528352254,169.27234925966954,144.95465451818288,191.61175407090718
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img12911.png,424.70490500245796,191.4165283848879,,,428.8798586698296,144.26411049457232,,,411.4432874708067,182.57545003045374,,,435.01949641596445,122.89817113802309,,
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img13125.png,287.82962644602566,103.52583406611011,,,233.16360882721932,90.59584786285951,,,268.1891410739994,111.0546867920535,,,207.95831926645235,84.54003153981809,,
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img14865.png,255.08209192135766,117.07159591951685,,,203.56385397103747,104.88273836029282,,,243.54330676529224,123.57231995110298,,,191.04996021023413,104.55770215871352,,
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img18924.png,305.56866101605715,119.46446693486632,,,371.1239676930922,114.38779335381648,,,321.6815815124328,111.51836915583178,,,398.2731351047936,112.40126890905783,,
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img20529.png,255.55746148263398,126.12021215829687,,,328.71135382956834,108.04439573536251,,,274.27124789696603,110.59627570095324,,,349.33905021809335,102.72797914038182,,
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img21838.png,319.88744761468155,323.80781049676216,296.1830213350663,315.8415688782029,344.9519639267337,255.41471172279034,319.30455188649427,247.05987295210628,324.55061344017963,308.2639244117685,303.1777700733134,297.38320415227304,350.9752197846687,241.03661709417125,327.6593906571783,232.6817783234872
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img21982.png,378.1071375478358,302.504618731122,354.6729539577693,305.3687967254634,334.88408781504654,232.9832074139247,313.27256294865185,243.91915975595575,376.284478824164,284.2780314944036,355.7144732284389,284.7987911297384,326.81231346735694,219.96421653055444,303.11775005962306,227.25485142524178
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img22243.png,274.55170957510325,189.95881564656943,292.0829643441871,207.25632035206547,242.5279508635768,257.0450838962635,264.7342069044163,272.0050879658817,264.032956713653,202.81506914389757,275.7204598930422,219.87882378580582,234.34669863800434,271.77133790229396,257.2542048696072,285.09509152679766
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img23968.png,411.6437636566719,254.61246572396206,,,454.945716364512,226.7754961260649,,,413.38357425654056,237.21435972527632,,,467.70432743021485,213.82357277148776,,
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img24292.png,418.6054698015423,233.8092623854746,,,449.63406474024146,188.2210959755397,,,415.5026103076724,217.3402389180112,,,457.03319122562357,170.7973465099625,,
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img25541.png,169.1608849796641,228.6018435638203,195.79063905928513,228.15801432915995,170.93620191830553,282.9709248097132,198.23169984991705,281.19560787107184,170.04854344898484,249.46181759285676,196.0125536766153,246.3550129502343,176.48406735155987,302.0555819001083,200.4508460232188,298.2830334054953
labeled-data,M94_210322_cop_piezoKO_CS-H_isolatedMvirginF_2ndPC_5,img25778.png,161.79695760459578,287.9048856455854,176.9167401986917,265.8732024370456,214.06820600132744,322.2483918236033,231.34795753743705,301.5126899802717,180.58868740011502,296.76075830784157,193.9804948406,276.4570502529128,230.26797306643022,330.6722706974567,244.73976497792202,311.88054090193754
