scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img00282.png,413.639980323127,144.73133446133522,,,438.54570439788955,102.09611189267386,,,399.2875291613994,132.7006033404753,,,434.11332977441486,79.93423877530037,,
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img01228.png,437.45433028243417,173.43511241739586,,,445.5320223532525,119.58383194527337,,,425.6070485785672,160.24154870172583,,,444.45499674381006,98.04331975642438,,
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img02826.png,,,,,407.6587827097556,87.10365897456599,,,367.4064299876262,122.05964949641519,353.4593428602218,99.81492825523843,407.4822373030796,64.68239232671323,381.5300625217067,54.97239495953289
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img03820.png,388.78244525408945,109.21929494855975,,,338.931545617039,75.13320972664486,,,366.20041379457086,113.48005560129911,,,317.4147043207052,61.285737605241934,,
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img05167.png,328.488834018363,126.66817501169064,,,307.3329738328863,80.8304779431578,314.38492722804517,127.79648755491607,291.67763729563353,117.92375280169361,288.4337387338604,63.764750726873274,,,,
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img06745.png,,,475.0466786023198,187.22159253908455,,,518.0034307943129,218.2067908415058,,,473.40352414688834,212.10364572133193,,,530.9139300869883,231.58676283573317
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img06967.png,,,481.2615953956684,237.21966595034846,,,511.3946415675417,296.95710836125534,,,474.65347123516983,258.3656632639438,,,516.9454658623605,315.45985601065127
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img08737.png,311.04695166283193,373.9476331027047,291.4001108752004,392.85771736080005,298.76767617056225,314.5159397201194,271.7532700875689,327.28638623207985,295.08389352288134,355.77430537414557,276.4193947746314,369.03592290579684,286.733986188138,299.5352236195504,260.94750765437163,310.5865715625931
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img10061.png,386.5465055688353,272.7666792068151,413.63981462687946,286.97414615188706,347.88897922991885,341.821576684025,380.9296000324116,344.1344201401995,380.2687876163617,295.5647075605351,404.71884701020633,306.4681124253578,346.56735439781914,364.9500112457699,378.2863503682122,368.5844795340441
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img10365.png,349.59813059940063,379.2886741126073,318.6681643795149,387.50444638976444,318.18488365732924,299.5473549519644,294.5041282702292,318.87858383939295,339.9325161556864,360.4407259473645,313.1104360743792,366.240094613593,302.23661982520065,283.35745075874297,278.7975047991935,300.0306356741501
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img10590.png,281.4728166873048,292.8223360339282,265.7050434106048,272.95062176740214,346.7038787361187,236.66314354157186,315.38432907692,225.43130504310062,296.80859617560213,274.24660313261035,279.3128477452911,255.02287954868837,354.479766927368,215.2794510156362,327.26415825799535,205.12759698817177
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img13195.png,318.1375014345241,227.17853252262398,337.8711354947114,211.53601771881696,379.2636362063238,289.26728359004255,388.40849101470326,261.11075694318987,337.8711354947114,241.37712288300264,357.84542362880336,229.3444191877665,397.312691749178,296.9682139549937,410.0673576661283,271.9401902689025
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img16624.png,313.00590863892126,217.89099588249059,323.4387638821663,194.84166453113525,395.2556278821786,236.08783642303425,388.4621407470423,206.7302670176238,338.4814853956824,220.80249036897754,343.81922528757525,196.7826608554599,413.6950929632629,230.75009653114142,409.0852266929918,202.36302528789332
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img17807.png,442.74982764354434,198.11231853174525,469.0673864756731,209.70988683064945,419.10863072654723,283.3098394967724,453.00921498488265,277.73408550691465,438.73528477084665,221.7535154487423,463.0455721666267,230.6747218325148,425.5765053547822,304.9437649774207,454.12436578285417,299.14498082796854
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img18655.png,341.01331480676697,294.1522851298958,315.7239250158202,285.0389915115366,380.8839743870884,228.30873873725065,349.2152790632902,226.25824767311983,346.48129097778246,272.5082127862927,321.41973352729474,265.2175778916054,384.3014594939731,209.17082213869634,352.63276417017494,204.38634298905777
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img23202.png,433.77297390123596,157.72586542243968,456.9142301964266,143.70086160717264,470.7054839481059,228.5521346895384,491.7429896710065,208.21587915740116,445.22672701703743,177.12712070022582,468.60173337581585,159.82961599472978,485.6654880177241,241.64213825045434,506.7029937406247,221.3058827183171
labeled-data,M98_210323_cop_piezoKO_CS-H_isolatedMvirginF_1stPC_3,img26896.png,333.4707890682406,256.22153409417155,308.52955865470517,247.6211098136421,364.862337692173,180.7528110325256,331.1056723910949,181.39784285356532,339.2760754575979,234.7204733928479,311.9697283669169,226.3350597193317,363.3572634430804,160.11179275925494,329.60059814200235,158.39170790314904
