scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img00325.png,359.1961878227329,149.0452757192587,329.4803411314403,144.62473654204163,364.3534835294862,82.49160255115703,332.6729527594304,77.08872133455836,355.02123415536124,125.22348126425553,328.2524135822133,122.5220406559562,359.1961878227329,52.03899933032818,331.6906107200488,50.074315251565054
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img00966.png,,,202.9131248101291,195.38862250340418,173.93995237150142,130.50078839606098,155.83171959735915,152.8342754841698,217.70151490901196,161.5865879916719,195.9716355800412,178.18580136796902,161.56599330917084,119.63584873157563,147.07940708985706,141.06392418097732
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img01388.png,,,,,205.71313939830293,113.89165297065125,180.11306914309392,134.0059938854583,237.2052893154251,156.76161189008855,218.71634968666302,172.40609926827182,193.11627943145407,101.90431848606926,172.39241303438013,120.3932581148313
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img03110.png,310.10201589406194,326.3720715799751,298.4283752926604,300.34958107268426,373.0910349724576,304.9703971440723,356.3101766079429,279.9207100202316,338.3133140141156,316.88723859133637,322.9916607247761,290.37834639232045,390.3582950286973,296.2151666930212,376.495846814533,270.67907787745537
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img03331.png,352.770910950899,302.25224756542224,342.30837645917234,276.4983165088643,408.83936502194695,285.88777053990106,393.27969834194323,260.1338394833432,374.23252016469723,289.9118222674882,362.96517532745315,267.37713259300006,427.0817328536755,273.54734524196704,410.18071559780935,248.5982245309266
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img04587.png,457.0748283255577,301.62264127600497,426.7908802138998,295.03917429520976,478.1419226641023,236.57798750574844,447.33129719398084,232.62790731727134,463.92163398558466,278.18549882437406,436.5344113454767,267.9152903343336,481.0386481356522,217.09092524259466,450.2280226655307,213.14084505411756
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img05320.png,457.76964151298785,275.82101337102887,427.92656377442586,274.12262683306193,473.7830002995332,218.56112437671487,441.75628272644235,216.37748454218595,458.9827747543928,250.83046859808675,428.4118170709878,249.85996200496277,472.32724040984726,197.45260597626861,442.96941596784734,195.99684608658268
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img06056.png,446.10134496489474,172.43330736849168,439.8461270004589,202.55102349355298,378.4523210532185,162.007944094432,378.220646313795,193.0523591771875,422.0071720648457,168.72651153771488,412.7401824879037,196.29580552911716,356.2115460685578,161.54459461558486,355.0531723714401,193.28403391661104
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img07254.png,400.32365688339917,182.0964003750046,414.12271151214907,206.67005930291538,343.6152132036051,205.72491857491877,357.7923241235536,234.83525299721305,381.4208423234678,194.76128613015862,392.00641847702934,218.5788324756721,325.27948308047166,219.14591691247006,342.48104433000924,244.66471656837737
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img09055.png,356.1883891537734,201.3814020872259,378.6708056072905,222.9367085838969,313.3095536496429,248.4322323971637,342.04996231187096,268.36509646935406,341.8181848226594,221.5460436486278,362.4463813624844,241.4789077208182,301.72067918906714,269.98753889383465,328.14331295918,285.0530756925832
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img10459.png,331.9678220217254,184.70369997649703,357.77501258644253,196.30243730895418,296.0117362911082,248.4967553050114,329.3581061219225,258.3556820376,319.78914782264536,209.06104837465705,347.6261174205425,224.71934377347424,291.37224135812534,271.4042615366143,321.81892685582534,278.9434408027114
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img15939.png,271.55716167451624,273.61964009285737,289.8665970350379,294.98064801346595,226.43748167894512,314.1619612482981,246.2727033195102,337.7026638546831,251.72194003395117,289.7493807676026,268.9415280515846,312.2002360310994,211.39758834708806,331.5995187345092,231.88671839338608,352.7425571865402
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img16122.png,227.37185859979337,282.03712782573166,207.70923721715172,304.35088917007783,195.11632239905538,233.21196686434064,172.13977606428313,251.32808993598798,208.15109387743576,268.7814280172093,189.8140424756464,285.3510527778623,182.74433591110107,216.8632704338296,159.32593291604474,234.31660851505083
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img20323.png,246.7403742603603,179.19900890303907,258.2468863183966,155.67076782914404,312.85988384758355,214.23376203497037,320.2446602430396,189.84682603137114,268.8947034467286,186.58378529849517,280.0577375328832,161.33815436519174,329.6903044697858,222.47723336013067,341.36855551376294,195.51421256741884
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img22235.png,296.55314286243936,228.6217862907644,318.7593989032789,213.1942820939706,329.51190182831704,290.5655531415273,355.4581588865611,271.6317979909167,308.0068959782409,248.25679163213826,333.48565290930935,232.3617873081689,341.433155071294,305.2918071475577,365.9769117480114,288.69555263282496
labeled-data,T84_210216_cop_piezoKOhetero_CS-H_isolatedMvirginF_2,img24262.png,397.6608136476762,235.1429593727571,366.94388546042745,227.91544685811033,417.0847535307894,176.64527995733482,385.46438627920975,175.06426159475583,401.726289437165,212.33112299840323,373.26795891074335,204.65189095159104,420.0209304898646,158.12477913855247,389.07814253653316,156.09204124380807
