scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,M_r,M_r,M_l,M_l,F_r,F_r,F_l,F_l,M_reye,M_reye,M_leye,M_leye,F_reye,F_reye,F_leye,F_leye
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,220524_CantonS_C1_piezo_copulation,img00160.png,,,342.35404898358564,112.60945111714675,,,396.6956824890006,86.13532197348306,,,354.8944259463737,126.54320329802238,,,417.5963107603141,87.18035338704874
labeled-data,220524_CantonS_C1_piezo_copulation,img00503.png,,,392.88730498862606,143.93383230902214,,,432.97949974031746,118.67890648118504,421.9304696906387,163.19071325274788,405.5147679025446,145.8279517461099,464.54815702511377,140.14559343484655,449.71088810125946,117.41616018979319
labeled-data,220524_CantonS_C1_piezo_copulation,img01224.png,,,418.5293841122483,191.28986624450624,470.9551266927929,236.70518975904776,469.12632171905295,208.05391183712226,422.4917948886848,229.38996986408807,420.96779074390156,204.39630188964242,484.975964824799,241.8868038513109,482.8423590221024,214.75953007416865
labeled-data,220524_CantonS_C1_piezo_copulation,img03686.png,,,434.42953706965005,186.76937966457527,,,478.4841425977779,218.07133622403455,,,433.27020534522563,203.77291162280008,,,494.3283428315783,225.800214386864
labeled-data,220524_CantonS_C1_piezo_copulation,img07204.png,,,440.2905177381351,190.97200252288,,,484.5138522965783,209.36890969919236,,,437.4602243263947,205.47725625804935,501.84939944348804,244.7475773459469,498.66531935528013,220.33629666968625
labeled-data,220524_CantonS_C1_piezo_copulation,img07632.png,,,429.6711987999845,178.5453452979431,,,478.77316091238276,204.20667223105573,429.91794232818756,215.310131000191,426.21678940514244,193.10321346192046,,,489.87661968151804,212.34920866175491
labeled-data,220524_CantonS_C1_piezo_copulation,img08195.png,,,437.7620134328748,186.06333031578492,,,477.0323345207724,235.06732073316135,,,439.440232282785,211.2366130644372,,,487.77293516019733,249.83564661237068
labeled-data,220524_CantonS_C1_piezo_copulation,img09274.png,,,439.6416040304491,167.8171544065543,,,480.1547142126044,223.43060565660386,,,438.9050020271372,193.9665255241273,,,497.8331622920904,238.53094672449814
labeled-data,220524_CantonS_C1_piezo_copulation,img11733.png,,,428.49401445557845,181.30524423251967,,,478.93129448531056,230.65394987312084,,,431.7597376229712,204.16530640426873,,,494.5341940628536,250.9740051368978
labeled-data,220524_CantonS_C1_piezo_copulation,img13990.png,,,,,482.8917113563243,200.0823541571425,472.03318182474345,171.36757606251768,439.457593230001,203.70186400100278,439.69889388625836,177.15879181269412,494.9567441691919,185.84561543795877,482.6504107000669,160.02644521842217
labeled-data,220524_CantonS_C1_piezo_copulation,img14361.png,424.91930489070273,171.2050156204075,,,418.4422872753738,96.90981356222295,,,411.2032675876533,145.67794619528766,,,408.91726137047834,71.38274413710315,,
labeled-data,220524_CantonS_C1_piezo_copulation,img15210.png,395.78183154648787,141.68861134562664,,,374.5473737958409,70.44141757700865,,,378.45898443411795,127.99797411165692,,,363.3713434007636,51.16276514550026,,
labeled-data,220524_CantonS_C1_piezo_copulation,img16642.png,398.3440762149392,144.70613955229754,,,374.87441238527686,78.06905832164895,,,377.3890192241692,135.06681333654333,,,362.30137819081483,57.53310247069436,,
labeled-data,220524_CantonS_C1_piezo_copulation,img17432.png,404.95597001137213,147.94544664784735,,,392.0055633620114,83.1934134010438,,,388.9938408854159,137.40441797976305,,,377.5492954743529,62.41252831253473,,
labeled-data,220524_CantonS_C1_piezo_copulation,img21022.png,411.0569704469168,153.57649681956968,,,391.7565465276258,85.31018258652185,,,389.6120549810379,143.5688696021595,,,382.4637498257449,63.865267120642955,,
labeled-data,220524_CantonS_C1_piezo_copulation,img28467.png,410.66890093435416,146.80483840291598,,,383.37289812689664,82.57894944419238,,,392.0433931363243,138.77660228307553,,,372.4544970039136,59.13649997425824,,
labeled-data,220524_CantonS_C1_piezo_copulation,img30812.png,,,,,,,,,,,,,390.6512117214835,191.12556408337338,362.3918205796451,186.84383815279182
labeled-data,220524_CantonS_C1_piezo_copulation,img32388.png,,,,,,,,,,,,,409.68899166932755,181.19457250295807,386.91964403000605,193.03463327540524
labeled-data,220524_CantonS_C1_piezo_copulation,img34891.png,,,,,,,,,,,,,420.8410970136225,133.7421634482229,422.39412980878257,162.8615283574747
labeled-data,220524_CantonS_C1_piezo_copulation,img37039.png,,,,,,,,,,,,,405.98048905486525,140.55954198921998,421.8936323333106,163.2926038155705
labeled-data,220524_hetero_T1_piezo_copulation,img01947.png,160.99928304688447,270.86101455338996,188.2622335012876,252.9529980784389,211.78321036390986,329.93074053793,229.95851066684526,308.2807504711981,180.24371866175724,285.56162509252886,201.0918572445361,268.45546010153083,229.6912268388609,343.8294995931159,246.53010800187457,322.7140771823527
labeled-data,220524_hetero_T1_piezo_copulation,img03056.png,225.31336233570005,366.8948709520515,223.3111993437878,342.66869874991335,295.5892833518199,362.6903286690358,288.38149658093585,336.2617771757941,242.73218036533657,366.69465465286027,239.72893587746822,340.26610315961864,313.4085339798389,356.8840559924903,307.0016124057197,331.45658599520476
labeled-data,220524_hetero_T1_piezo_copulation,img04406.png,402.1082858622832,170.19464613503752,377.15916515124275,156.00789122091646,431.21559335849713,109.5340389160371,403.57588119822674,101.70686379100479,410.6692586552873,151.11590676777126,385.96473716690406,139.61974330288007,434.884581698356,89.47690265814182,409.446262542001,83.6065213143676
labeled-data,220524_hetero_T1_piezo_copulation,img04830.png,379.14260989175506,129.7587453671964,389.1238362356723,105.03252556067423,436.30781531600815,163.33196125128157,442.20581270105015,135.65674275223842,398.8782165263186,134.74935853915503,405.2299060179023,108.66206241300777,451.279654831884,167.4151902101568,458.7655745898219,140.1936638176553
