scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,F_reye,F_reye,E_leye,E_leye,F_rche,F_rche,F_lche,F_lche,M_head,M_head,M_reye,M_reye,M_leye,M_leye,M_rche,M_rche,M_lche,M_lche
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,5_ATR_cop_video2022-02-03T14_38_43,img0081.png,304.7277568911238,283.85082191861795,332.09991088455575,282.28669883327893,307.85600306180174,264.8206577136605,331.57853652277606,262.47447308565205,316.19799285027625,224.4141446757372,300.5567619968866,218.67902669616097,327.6682288094287,211.64047281213564,295.8643927408697,198.60611376764425,320.3689877445135,190.52481116005958
labeled-data,5_ATR_cop_video2022-02-03T14_38_43,img0114.png,305.84035863454244,285.5013691035545,332.84037925451076,282.09596109743234,305.84035863454244,266.52838164087404,329.67821467739736,266.2851382118653,317.5160432269612,225.17699870939094,301.7052203413941,221.04186041624263,328.7052409613625,212.52834040093728,297.3268386192371,200.12292552149233,321.8944249491182,194.5283266542917
labeled-data,5_ATR_cop_video2022-02-03T14_38_43,img0149.png,303.55311983598085,283.5572823383519,331.9166603946555,283.8199077138952,305.12887208924053,264.38562992369225,330.6035335169391,265.43613142586537,318.26014086640475,212.91105631720862,302.6944996044998,207.5664845603038,327.98309434546667,202.0077422941921,297.45103377169255,190.95935440136432,321.6358266575162,183.84618002318092
labeled-data,5_ATR_cop_video2022-02-03T14_38_43,img0246.png,301.3392043948055,281.76394835329535,330.6970388107031,282.0604921352741,307.2700800343808,265.1574965624846,330.10395124674557,263.08169008863325,315.8698497117649,223.34482330347896,299.85648548491173,218.30357900984,326.8419696449792,212.37270337026473,294.8152411912728,194.8766202335177,319.13183131353134,188.94574459394244
labeled-data,5_ATR_cop_video2022-02-03T14_38_43,img0336.png,304.0261149210156,284.98972447893516,331.7752477745447,283.3732701379529,304.56493303467636,265.05345427348703,330.42820249039283,264.7840452166567,313.4554319100789,225.989141033082,298.9073428412384,221.40918706696556,325.57883946744596,214.40455158937567,295.67443415927386,200.12587157736556,318.84361304668647,195.5459176112491
labeled-data,5_ATR_cop_video2022-02-03T14_38_43,img0398.png,302.19368028156873,284.18043130138466,330.5572208402433,284.18043130138466,305.0825594125448,263.43302663346526,330.2945954647,263.9582773845518,315.5875744342761,217.2109605378473,301.14317877939556,213.53420528024134,328.9814685869836,207.7564470182891,296.67854739515974,191.21104835906223,322.6784595739448,186.4837915992831
labeled-data,5_ATR_cop_video2022-02-03T14_38_43,img0560.png,302.55945346927695,281.11612617232424,332.03939414834224,282.47673881905035,301.8791471459139,262.52108666706766,332.2661629227966,263.4281617648851,312.5372795452683,208.3233495724785,296.2099277845552,204.92181795566324,320.4741866511705,195.17076065412624,288.7265582275617,184.51262825477187,312.5372795452683,175.6686460510523
labeled-data,5_ATR_cop_video2022-02-03T14_38_43,img0592.png,300.7485313368375,281.0983723092986,331.68211800599477,283.8893726102752,302.60919820415523,262.02653691929186,330.98436793075064,263.8872037866096,319.58778336842954,234.81428398477004,303.5395316378141,230.39520017489045,327.96078427135933,222.25478263037536,295.39911409329903,210.62561470963956,319.3552000100148,201.55486373146562
