scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,F_reye,F_reye,E_leye,E_leye,F_rche,F_rche,F_lche,F_lche,M_head,M_head,M_reye,M_reye,M_leye,M_leye,M_rche,M_rche,M_lche,M_lche
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,8_EtOH_web_camera2022-06-27T15_24_24,img0008.png,313.85919029441544,299.9917759589376,335.5653987308709,297.1492962827351,308.4326381853015,279.0607892523555,335.04858424428863,276.218309576153,312.3087468346686,254.25369389640633,301.45564261644085,244.95103313792538,326.26273797238997,246.75988384096337,303.52290056276996,222.7280102148876,323.67866553947863,226.8625261075458
labeled-data,8_EtOH_web_camera2022-06-27T15_24_24,img0040.png,313.1515736198527,298.7308866918832,337.0946813989964,296.61825953489995,311.0389464628695,279.01303322670606,334.98205424201313,277.13514242049877,312.91683726907684,253.89624369368278,303.05791053648824,243.56784425954237,327.0010183156319,248.26257127506074,303.2531953997388,223.38249066718964,325.7287078429389,228.66307227245966
labeled-data,8_EtOH_web_camera2022-06-27T15_24_24,img0101.png,312.871420223494,300.3034624361319,336.6961735400616,297.4156135492752,310.94618763225617,277.92263356299264,335.49290317053794,275.75674689785006,314.31534466692233,257.70769135499586,302.2826409716862,245.43433358585497,327.79197280558685,250.24741506394943,306.37376022806643,225.70069952566766,329.9578594707294,229.79181878204798
labeled-data,8_EtOH_web_camera2022-06-27T15_24_24,img0237.png,312.6106789315721,299.7635885550909,337.57163508887027,296.9171637301359,311.07798864121173,279.6196590246399,336.0389447985098,276.7732341996848,315.0191922449957,256.41034891346794,303.19558143364395,246.1194283924766,328.59444910247356,249.4037647289632,305.60409474706745,226.41341037355707,329.13946029746444,227.9374963506631
labeled-data,8_EtOH_web_camera2022-06-27T15_24_24,img0316.png,314.60878877628477,300.23519163696926,336.7726344680345,296.4715197270495,312.0996741696716,278.6986245968728,335.9362629324968,275.1440455708374,316.07243896347575,256.9529646728919,304.572330349832,246.70741336255475,329.6634764159638,249.6347137369368,307.49963072421406,226.21631074188045,330.29075506761706,226.6344965096493
labeled-data,8_EtOH_web_camera2022-06-27T15_24_24,img0343.png,312.8056200737376,300.19244595023554,337.43321116144637,297.28191245805175,310.34286096496675,278.25150116300404,334.7465648609691,275.3409676708203,315.492266374215,257.42999233430487,303.8501324054799,245.3400839821569,329.8210466434273,248.92227904946003,306.5367787059572,224.29468796175126,327.3582875346564,227.205221453935
labeled-data,8_EtOH_web_camera2022-06-27T15_24_24,img0465.png,313.8643816170302,300.1103474046952,336.9139132037244,297.0775143011828,311.4381151342203,279.8914600479459,336.10515770945443,276.65643807086605,315.07751485843517,255.83098409341426,302.9461824443856,245.5193515414721,329.02854713459215,248.5521846449845,305.77682667433044,226.7157862996953,325.59133628394477,228.5354861618027
labeled-data,8_EtOH_web_camera2022-06-27T15_24_24,img0583.png,313.29603559744226,299.76832273359406,338.8162165904124,293.99854268300953,309.96731633748965,277.7987756179067,333.4902657744882,276.911117148586,314.8494379187535,253.61008232891766,303.75370705224475,244.73349763571065,329.7177172798752,248.7279607476538,307.5262555468577,225.4269259279854,329.49580266254503,228.0899013359475
