scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,F_reye,F_reye,E_leye,E_leye,F_rche,F_rche,F_lche,F_lche,M_head,M_head,M_reye,M_reye,M_leye,M_leye,M_rche,M_rche,M_lche,M_lche
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,9_EtOH_cop_video2022-07-08T17_17_55,img0038.png,303.44758619365325,283.3204847149318,330.8417128440782,283.32048471493175,301.820212333232,257.824960901665,333.0115446579733,259.99479271556004,313.21182935618094,212.8009507633428,299.3791515426001,205.47776839144703,325.68836228607745,200.59564681018318,295.5819458682837,184.8643661594441,318.0939509374448,178.62609969449585
labeled-data,9_EtOH_cop_video2022-07-08T17_17_55,img0081.png,303.39382466531526,283.47550933516266,330.5758995702913,284.25960764972933,303.65519077017075,261.52075652729735,331.88273009456907,261.2593904224418,314.37120106924795,218.65671533098887,298.42786867306,212.12256270960037,325.08721136832503,206.8952406124896,293.7232787856603,191.73600653086828,318.81442485179207,186.5086844337575
labeled-data,9_EtOH_cop_video2022-07-08T17_17_55,img0123.png,302.91217526213876,283.3002461018312,331.1860700843793,283.81903316278976,301.87460114022167,259.43604129773826,330.92667655390005,259.6954348282175,314.0660970727474,217.67368289057558,299.280665835429,211.70763168955233,324.18244476143906,207.03854814092543,293.8334016953643,188.88100100737648,317.73842685541155,184.20511406609054
labeled-data,9_EtOH_cop_video2022-07-08T17_17_55,img0203.png,303.42751229051316,284.70256895166403,330.6214226417469,284.25676714262744,302.75880957695824,259.0689649320585,332.62753078241167,260.18346945465004,313.68095389835537,218.05519850068958,297.40918786851887,212.4826758877319,325.04890002878915,206.91015327477413,294.28857520526253,191.08418905397417,318.5847737977582,185.06586463197982
labeled-data,9_EtOH_cop_video2022-07-08T17_17_55,img0386.png,302.1187984508497,283.77165192627183,330.7369075017491,284.32200017725063,301.8436243253603,258.73080650673484,330.18655925077024,257.6301100047772,315.32715647434173,225.4347373225154,300.46775369791317,219.38090656174822,325.78377324293956,213.60224992647042,294.1387488116566,196.81662827161603,316.15267885080993,189.66210100889117
labeled-data,9_EtOH_cop_video2022-07-08T17_17_55,img0410.png,305.14582133653687,286.3136098962499,331.4362926234398,281.61888288073146,302.56372147800175,259.78840225857107,329.79313816800834,256.0326206461564,314.5352753675736,212.6063957526114,298.80793986558706,205.56430522933385,325.09841115249,199.22642375838404,294.11321285006875,185.84645176415668,317.3521115768847,176.69173408389588
labeled-data,9_EtOH_cop_video2022-07-08T17_17_55,img0435.png,303.57084053098004,285.2092444059523,332.69195604782783,281.632967061778,301.7827018588929,258.6426127063719,329.88202384883374,258.1317159429184,315.5769144721366,218.02632001182104,299.22821804162555,213.68369752246653,325.53940135947926,207.80838474275163,293.79180306063034,190.30080086618304,318.8908394242672,187.20188652106563
labeled-data,9_EtOH_cop_video2022-07-08T17_17_55,img0586.png,302.60129655415165,281.60316146295264,331.4245533401829,283.5431883620124,301.21556305482324,258.0456919743694,331.4245533401829,258.59998537410075,315.3500447479732,222.57091439156164,300.3841229552262,219.7994473929048,328.0987929417947,212.03933979666562,294.5640422580468,195.96483120445586,320.06153864568984,189.5904571075451
